GeneID	Control_Expression_Group	Treatment_Expression_Group	Gene_description
Potri.003G023900	High Expression	High Expression	K+ uptake permease 7
Potri.010G001900	High Expression	High Expression	novel plant snare 13
Potri.001G416600	NA	High Expression	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Potri.006G275500	NA	Medium Expression	Translation elongation factor EF1A/initiation factor IF2gamma family protein
Potri.015G026500	Low Expression	Not Expressed	alpha/beta-Hydrolases superfamily protein
Potri.014G136400	High Expression	High Expression	receptor-like kinase in in flowers 3
Potri.003G054800	Medium Expression	Medium Expression	unknown
Potri.004G190500	NA	Low Expression	unknown
Potri.002G076900	NA	Low Expression	RING/FYVE/PHD-type zinc finger family protein
Potri.001G212600	NA	Medium Expression	unknown
Potri.002G088000	NA	High Expression	OSBP(oxysterol binding protein)-related protein 1C
Potri.003G011700	Medium Expression	NA	ubiquitin family protein
Potri.018G087700	NA	High Expression	Nucleotide-diphospho-sugar transferases superfamily protein
Potri.014G014100	NA	Medium Expression	Carbohydrate-binding protein
Potri.003G033300	NA	Low Expression	unknown
Potri.012G044900	High Expression	High Expression	jasmonate-zim-domain protein 3
Potri.018G065100	NA	High Expression	SNF7 family protein
Potri.001G159400	NA	High Expression	phosphorylcholine cytidylyltransferase
Potri.014G121800	NA	High Expression	MUTS homolog 6
Potri.019G126700	Not Expressed	Not Expressed	Major facilitator superfamily protein
Potri.009G023100	High Expression	NA	DNA-binding bromodomain-containing protein
Potri.014G195700	NA	High Expression	ATP citrate lyase (ACL) family protein
Potri.005G027600	NA	Medium Expression	cellulose synthase 6
Potri.001G233900	NA	Medium Expression	BTB/POZ domain-containing protein
Potri.003G083600	NA	Medium Expression	ureidoglycine aminohydrolase
Potri.001G394600	High Expression	Medium Expression	ubiquitin-specific protease 25
Potri.014G018800	NA	Not Expressed	unknown
Potri.011G022600	NA	Low Expression	Ubiquitin-specific protease family C19-related protein
Potri.012G112000	NA	Medium Expression	Clp ATPase
Potri.012G074400	Medium Expression	Low Expression	ARM repeat superfamily protein
Potri.018G062900	Medium Expression	NA	fatty acid biosynthesis 1
Potri.001G465500	Medium Expression	NA	double-stranded RNA binding protein-related / DsRBD protein-related
Potri.010G022100	NA	High Expression	tetratricopeptide repeat (TPR)-containing protein
Potri.012G073700	NA	Low Expression	serine/threonine protein kinase 2
Potri.014G167800	NA	Medium Expression	nuclear factor Y, subunit B3
Potri.014G019600	NA	High Expression	NAD(P)-binding Rossmann-fold superfamily protein
Potri.009G051800	High Expression	High Expression	Protein of unknown function (DUF3411)
Potri.014G171900	NA	Medium Expression	RNA recognition motif (RRM)-containing protein
Potri.009G017300	NA	Medium Expression	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
Potri.017G041100	High Expression	High Expression	SET domain protein 2
Potri.018G141900	NA	Medium Expression	DNA ligase IV
Potri.015G076600	Medium Expression	NA	ataxia-telangiectasia mutated
Potri.006G151300	NA	Low Expression	polyamine oxidase 5
Potri.009G014400	NA	High Expression	SAND family protein
Potri.018G148100	Low Expression	NA	transducin family protein / WD-40 repeat family protein
Potri.005G257700	NA	High Expression	NAD(P)-binding Rossmann-fold superfamily protein
Potri.011G015900	High Expression	High Expression	Phosphofructokinase family protein
Potri.015G011100	NA	Medium Expression	RNA-binding KH domain-containing protein
Potri.003G000900	NA	Medium Expression	mitotic checkpoint family protein
Potri.011G032400	Medium Expression	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.018G063400	NA	Low Expression	SAUR-like auxin-responsive protein family
Potri.001G370500	NA	Low Expression	unknown
Potri.008G221800	NA	Not Expressed	high affinity K+ transporter 5
Potri.011G077700	NA	High Expression	unknown
Potri.015G126800	NA	High Expression	BCL-2-associated athanogene 7
Potri.009G042800	High Expression	NA	Glycosyl hydrolase family protein
Potri.001G109500	NA	High Expression	Ubiquitin-like superfamily protein
Potri.012G051300	NA	Medium Expression	TCP-1/cpn60 chaperonin family protein
Potri.007G090400	NA	Medium Expression	acyl-CoA oxidase 2
Potri.004G068300	Not Expressed	NA	Leucine-rich repeat protein kinase family protein
Potri.001G309200	NA	Medium Expression	BolA-like family protein
Potri.004G154200	NA	Not Expressed	unknown
Potri.005G093500	NA	Not Expressed	unknown
Potri.018G023300	Medium Expression	Medium Expression	serine-rich protein-related
Potri.018G123200	Medium Expression	NA	ubiquitin-specific protease 22
Potri.014G068900	NA	Medium Expression	Protein of unknown function (DUF1442)
Potri.012G007000	High Expression	High Expression	unknown
Potri.003G031000	Medium Expression	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.004G149400	Low Expression	Low Expression	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.013G141400	Not Expressed	Not Expressed	photosystem II reaction center protein G
Potri.003G021700	Medium Expression	Low Expression	homolog of separase
Potri.015G146500	NA	Medium Expression	SKP1-like 21
Potri.005G156700	NA	Not Expressed	Predicted AT-hook DNA-binding family protein
Potri.011G144700	NA	Medium Expression	unknown
Potri.015G142900	NA	Low Expression	homolog of DNA mismatch repair protein MSH3
Potri.013G019000	NA	High Expression	Zinc finger, RING-type;Transcription factor jumonji/aspartyl beta-hydroxylase
Potri.003G077600	High Expression	NA	G2484-1 protein
Potri.004G124500	NA	Medium Expression	galacturonosyltransferase 14
Potri.015G056400	High Expression	Medium Expression	unknown
Potri.001G156700	Medium Expression	Medium Expression	Plant protein of unknown function (DUF828) with plant pleckstrin homology-like region
Potri.008G189700	NA	Not Expressed	Protein kinase superfamily protein
Potri.002G238300	NA	High Expression	transthyretin-like protein
Potri.003G066200	Medium Expression	Medium Expression	ARM repeat superfamily protein
Potri.001G400300	NA	Medium Expression	Ubiquitin-conjugating enzyme family protein
Potri.001G218700	NA	High Expression	Ribosomal protein S11 family protein
Potri.005G145300	NA	High Expression	Subtilase family protein
Potri.013G139800	Medium Expression	Medium Expression	unknown
Potri.004G105200	NA	Medium Expression	Protein kinase superfamily protein
Potri.001G198600	NA	Medium Expression	DNA binding;DNA-directed RNA polymerases
Potri.001G301800	High Expression	Medium Expression	CYCLIN D3;1
Potri.015G000600	NA	High Expression	Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein
Potri.012G075800	NA	High Expression	unknown
Potri.003G184300	Not Expressed	NA	mitogen-activated protein kinase kinase kinase 20
Potri.002G021000	NA	Not Expressed	SKU5  similar 18
Potri.008G204200	NA	Medium Expression	beta-amylase 3
Potri.018G083700	NA	High Expression	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Potri.017G057900	High Expression	High Expression	beta galactosidase 9
Potri.T073600	NA	Medium Expression	Disease resistance protein (TIR-NBS-LRR class) family
Potri.011G066900	Medium Expression	NA	xylem bark cysteine peptidase 3
Potri.010G030600	NA	Low Expression	RING/U-box superfamily protein
Potri.012G072600	NA	Medium Expression	unknown
Potri.007G057900	NA	Low Expression	Phosphatidylinositol 3- and 4-kinase family protein with FAT domain
Potri.017G102200	NA	Not Expressed	unknown
Potri.018G091200	Low Expression	NA	Protein kinase superfamily protein
Potri.011G064500	Medium Expression	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.004G156900	NA	High Expression	Rer1 family protein
Potri.014G052300	NA	Medium Expression	Histone H3 K4-specific methyltransferase SET7/9 family protein
Potri.004G125800	NA	Not Expressed	Protein of unknown function (DUF179)
Potri.014G179100	NA	High Expression	cytochrome P450, family 88, subfamily A, polypeptide 3
Potri.014G025100	NA	Low Expression	C2H2-like zinc finger protein
Potri.017G089800	NA	Medium Expression	Cyclic nucleotide-regulated ion channel family protein
Potri.005G150100	NA	Medium Expression	Protein of unknown function (DUF1005)
Potri.014G097600	NA	Low Expression	nucleotidyltransferases
Potri.010G081400	NA	Medium Expression	Leucine-rich repeat protein kinase family protein
Potri.004G044500	NA	High Expression	Eukaryotic translation initiation factor 3 subunit 7 (eIF-3)
Potri.015G134500	Not Expressed	Not Expressed	Protein kinase superfamily protein
Potri.007G095900	Not Expressed	Not Expressed	ABC-2 type transporter family protein
Potri.015G140900	NA	Medium Expression	unknown
Potri.016G116100	Medium Expression	Medium Expression	SGNH hydrolase-type esterase superfamily protein
Potri.012G092700	NA	Not Expressed	Ribosomal protein S21 family protein
Potri.013G116200	Low Expression	Low Expression	Exostosin family protein
Potri.017G050800	NA	High Expression	splicing factor, putative
Potri.018G055900	Low Expression	NA	unknown
Potri.017G013000	Medium Expression	Medium Expression	RING 1A
Potri.018G088700	Not Expressed	NA	unknown
Potri.010G048700	Medium Expression	Medium Expression	sphere organelles protein-related
Potri.013G139100	Not Expressed	Not Expressed	unknown
Potri.006G185300	NA	Medium Expression	BTB/POZ domain with WD40/YVTN repeat-like protein
Potri.013G074700	Not Expressed	NA	NAD(P)H dehydrogenase subunit H
Potri.001G044300	Not Expressed	NA	NDH-dependent cyclic electron flow 1
Potri.007G106500	NA	Low Expression	NAD(P)H:plastoquinone dehydrogenase complex subunit O
Potri.006G276600	Low Expression	NA	ABC1 family protein
Potri.014G145600	Medium Expression	Medium Expression	unknown
Potri.017G144800	Medium Expression	NA	Homeodomain-like superfamily protein
Potri.002G208100	Medium Expression	NA	B-box type zinc finger protein with CCT domain
Potri.003G019000	NA	Low Expression	Pentatricopeptide repeat (PPR) superfamily protein
Potri.010G100900	High Expression	Medium Expression	sodium proton exchanger, putative (NHX7) (SOS1)
Potri.017G108100	Medium Expression	Medium Expression	Pentatricopeptide repeat (PPR) superfamily protein
Potri.001G237900	NA	Not Expressed	WUSCHEL related homeobox 2
Potri.017G114400	Medium Expression	Medium Expression	RNA-binding KH domain-containing protein
Potri.012G034900	NA	Not Expressed	Protein kinase superfamily protein
Potri.016G059900	NA	Medium Expression	spindle pole body component 98
Potri.001G372100	NA	High Expression	nuclear factor Y, subunit A7
Potri.017G148800	NA	High Expression	DnaJ / Sec63 Brl domains-containing protein
Potri.001G066100	NA	Not Expressed	Pentatricopeptide repeat (PPR) superfamily protein
Potri.011G079700	NA	High Expression	3-ketoacyl-acyl carrier protein synthase I
Potri.019G003100	NA	High Expression	Sec23/Sec24 protein transport family protein
Potri.006G259400	NA	High Expression	KNOTTED1-like homeobox gene 3
Potri.011G041600	NA	Low Expression	MYB-like 102
Potri.008G158800	NA	High Expression	Stabilizer of iron transporter SufD / Polynucleotidyl transferase
Potri.006G214000	NA	Medium Expression	UDP-glucuronic acid decarboxylase 1
Potri.010G033800	NA	Medium Expression	Protein kinase superfamily protein
Potri.019G083000	NA	Low Expression	ATP-binding casette family G25
Potri.004G210000	NA	High Expression	ankyrin repeat-containing 2B
Potri.017G072900	NA	Low Expression	Protein kinase superfamily protein
Potri.002G241900	High Expression	NA	proteolysis 1
Potri.017G094000	NA	High Expression	exocyst subunit exo70 family protein E1
Potri.003G072100	NA	Medium Expression	Eukaryotic translation initiation factor 2B (eIF-2B) family protein
Potri.T037000	NA	Not Expressed	zinc ion binding;nucleic acid binding
Potri.019G018100	Low Expression	Medium Expression	phosphoenolpyruvate carboxylase kinase 2
Potri.006G146600	NA	Medium Expression	unknown
Potri.004G041800	Medium Expression	NA	allantoinase
Potri.013G082000	NA	Medium Expression	unknown
Potri.002G146800	High Expression	NA	Ribosomal protein S13/S15
Potri.007G087100	NA	Medium Expression	unknown
Potri.012G055500	NA	Medium Expression	cysteine-rich RLK (RECEPTOR-like protein kinase) 10
Potri.001G149100	NA	Medium Expression	Protein kinase superfamily protein
Potri.012G036400	NA	Low Expression	unknown
Potri.019G077900	NA	Not Expressed	chloroplast heat shock protein 70-2
Potri.011G046900	High Expression	High Expression	disease resistance protein (TIR class), putative
Potri.017G063100	Not Expressed	Not Expressed	DNA-directed RNA polymerase family protein
Potri.008G078500	High Expression	NA	sister chromatid cohesion 1 protein 4
Potri.005G228000	Not Expressed	Not Expressed	RAD-like 6
Potri.012G022100	NA	High Expression	RNA-binding (RRM/RBD/RNP motifs) family protein
Potri.006G210500	NA	High Expression	chaperone protein dnaJ-related
Potri.008G205200	NA	High Expression	cytochrome P450, family 81, subfamily D, polypeptide 8
Potri.013G142300	Not Expressed	NA	DNA-directed RNA polymerase family protein
Potri.019G004400	Not Expressed	Not Expressed	RmlC-like cupins superfamily protein
Potri.016G081000	NA	Medium Expression	phosphatidic acid phosphohydrolase 2
Potri.011G047500	Low Expression	NA	OBF binding protein 4
Potri.003G033200	NA	Low Expression	Pyridoxal-5\'-phosphate-dependent enzyme family protein
Potri.018G075500	High Expression	NA	Alcohol dehydrogenase transcription factor Myb/SANT-like family protein
Potri.018G114900	NA	High Expression	Ribosomal protein S5/Elongation factor G/III/V family protein
Potri.001G384000	NA	Medium Expression	light-regulated zinc finger protein 1
Potri.009G116300	Medium Expression	Medium Expression	Leucine-rich repeat protein kinase family protein
Potri.017G072600	High Expression	High Expression	methyl-CPG-binding domain 9
Potri.008G047400	NA	Low Expression	SET domain-containing protein
Potri.019G083100	NA	Low Expression	unknown
Potri.003G088600	Low Expression	NA	Pentatricopeptide repeat (PPR-like) superfamily protein
Potri.019G058600	NA	Medium Expression	Leucine-rich repeat protein kinase family protein
Potri.008G142500	NA	Low Expression	indeterminate(ID)-domain 5
Potri.014G163200	NA	Low Expression	ankyrin repeat family protein
Potri.018G058600	High Expression	High Expression	Zinc finger C-x8-C-x5-C-x3-H type family protein
Potri.012G062700	NA	High Expression	protein phosphatase 2A  subunit A2
Potri.016G063600	NA	Medium Expression	nucleic acid binding;methyltransferases
Potri.009G062200	NA	High Expression	ADP/ATP carrier 2
Potri.013G114300	High Expression	NA	2-oxoacid dehydrogenases acyltransferase family protein
Potri.006G022300	Not Expressed	NA	UDP-Glycosyltransferase superfamily protein
Potri.004G058000	NA	Medium Expression	Protein of unknown function (DUF1637)
Potri.009G032000	High Expression	High Expression	TRF-like 2
Potri.002G100300	NA	Medium Expression	Seryl-tRNA synthetase
Potri.005G026600	NA	Medium Expression	Transducin/WD40 repeat-like superfamily protein
Potri.014G073300	NA	Medium Expression	Nucleotidyltransferase family protein
Potri.010G023500	NA	Medium Expression	homolog of yeast sucrose nonfermenting 4
Potri.004G137900	NA	Low Expression	RING/U-box superfamily protein
Potri.015G102100	Not Expressed	Not Expressed	NAC domain containing protein 83
Potri.008G180700	NA	Medium Expression	PAS/LOV protein B
Potri.004G021000	NA	High Expression	xyloglucan endotransglucosylase/hydrolase 8
Potri.010G032700	NA	Not Expressed	photosystem II reaction center protein C
Potri.002G236800	NA	High Expression	aspartate kinase 3
Potri.002G007100	Not Expressed	Not Expressed	glyceraldehyde-3-phosphate dehydrogenase B subunit
Potri.010G031500	NA	Medium Expression	sodium hydrogen exchanger 2
Potri.018G103300	NA	Low Expression	DNA/RNA polymerases superfamily protein
Potri.011G086500	NA	Medium Expression	fimbrin-like protein 2
Potri.002G026600	NA	High Expression	Regulator of chromosome condensation (RCC1) family protein
Potri.019G091700	NA	Medium Expression	unknown
Potri.011G118200	NA	Medium Expression	VQ motif-containing protein
Potri.017G050100	Medium Expression	NA	helicase domain-containing protein / IBR domain-containing protein / zinc finger protein-related
Potri.009G019800	NA	Low Expression	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Potri.001G018300	NA	Low Expression	AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein
Potri.009G139900	NA	Medium Expression	unknown
Potri.017G082900	Low Expression	Low Expression	homeobox protein 30
Potri.001G200600	NA	Medium Expression	Aminotransferase-like, plant mobile domain family protein
Potri.010G002000	NA	High Expression	pyruvate dehydrogenase kinase
Potri.005G182900	NA	Medium Expression	Zinc finger C-x8-C-x5-C-x3-H type family protein
Potri.001G408300	NA	High Expression	Wound-responsive family protein
Potri.013G130900	NA	Not Expressed	myb domain protein 97
Potri.006G130700	High Expression	High Expression	Phosphatidic acid phosphatase (PAP2) family protein
Potri.005G046900	Not Expressed	NA	Esterase/lipase/thioesterase family protein
Potri.004G218800	Low Expression	Low Expression	unknown
Potri.003G164600	Medium Expression	Low Expression	Sterile alpha motif (SAM) domain-containing protein
Potri.010G026800	NA	Medium Expression	transducin family protein / WD-40 repeat family protein
Potri.012G074700	NA	High Expression	alpha/beta-Hydrolases superfamily protein
Potri.011G006500	Not Expressed	Not Expressed	unknown
Potri.002G004000	NA	High Expression	hydroxy methylglutaryl CoA reductase 1
Potri.012G058900	Medium Expression	Medium Expression	equilibrative nucleotide transporter 1
Potri.003G014800	NA	Medium Expression	Basic-leucine zipper (bZIP) transcription factor family protein
Potri.008G190000	High Expression	High Expression	polygalacturonase 2
Potri.014G074300	High Expression	Medium Expression	calcineurin B subunit-related
Potri.008G017400	NA	Medium Expression	pentatricopeptide (PPR) repeat-containing protein
Potri.013G143900	NA	Low Expression	UDP-glucosyl transferase 78D2
Potri.003G050100	NA	High Expression	Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
Potri.003G049100	Low Expression	NA	Homeodomain-like superfamily protein
Potri.004G137600	Low Expression	Low Expression	Protein kinase superfamily protein
Potri.013G141500	Not Expressed	Low Expression	chloroplast ribosomal protein S4
Potri.014G173500	Medium Expression	Medium Expression	Chaperone DnaJ-domain superfamily protein
Potri.006G249000	NA	Low Expression	unknown
Potri.018G083000	NA	Low Expression	Tesmin/TSO1-like CXC domain-containing protein
Potri.019G080000	Low Expression	Low Expression	C2 calcium/lipid-binding plant phosphoribosyltransferase family protein
Potri.016G001100	NA	High Expression	myb-like HTH transcriptional regulator family protein
Potri.018G055700	NA	High Expression	Mitochondrial ATP synthase subunit G protein
Potri.011G040700	NA	High Expression	Leucine-rich repeat (LRR) family protein
Potri.017G115900	NA	Not Expressed	Leucine-rich repeat protein kinase family protein
Potri.017G069000	Not Expressed	NA	unknown
Potri.017G060100	NA	Medium Expression	AMP-dependent synthetase and ligase family protein
Potri.007G027500	High Expression	NA	Leucine-rich repeat (LRR) family protein
Potri.017G079100	NA	Medium Expression	TBP-associated factor 5
Potri.008G219700	NA	Low Expression	2-oxoacid dehydrogenases acyltransferase family protein
Potri.001G101400	High Expression	High Expression	Adaptin family protein
Potri.017G092400	High Expression	NA	Insulinase (Peptidase family M16) protein
Potri.010G045200	NA	Medium Expression	unknown
Potri.013G074800	NA	Not Expressed	NADH dehydrogenase family protein
Potri.019G133900	NA	Not Expressed	vacuolar ATP synthase G3
Potri.005G165600	Not Expressed	NA	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Potri.007G095800	High Expression	NA	RNA-binding (RRM/RBD/RNP motifs) family protein
Potri.T061500	Not Expressed	NA	unknown
Potri.013G107700	NA	Medium Expression	C2 calcium/lipid-binding plant phosphoribosyltransferase family protein
Potri.019G087300	NA	Low Expression	ATP synthase delta-subunit gene
Potri.010G024400	NA	High Expression	RNA binding
Potri.002G246600	High Expression	High Expression	Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain
Potri.017G102500	Medium Expression	Low Expression	alpha/beta-Hydrolases superfamily protein
Potri.005G196500	Medium Expression	NA	Nucleotide-sugar transporter family protein
Potri.017G061400	Medium Expression	Medium Expression	unknown
Potri.013G073600	NA	High Expression	non-specific phospholipase C4
Potri.003G044700	NA	High Expression	alfin-like 6
Potri.013G089000	NA	Low Expression	RELA/SPOT homolog 2
Potri.012G002200	NA	High Expression	cyclic nucleotide gated channel 1
Potri.013G136600	Low Expression	Low Expression	ribosomal protein L22
Potri.004G125900	NA	Medium Expression	Plant protein of unknown function (DUF863)
Potri.017G070600	NA	Not Expressed	NAD(P)-linked oxidoreductase superfamily protein
Potri.003G046700	Not Expressed	NA	NAC domain containing protein 35
Potri.018G131500	NA	Low Expression	SPX domain gene 2
Potri.005G040600	NA	Medium Expression	alpha/beta-Hydrolases superfamily protein
Potri.004G007800	Not Expressed	Not Expressed	SLAC1 homologue 1
Potri.015G094700	NA	High Expression	SNF1-related protein kinase regulatory subunit gamma 1
Potri.011G095100	Medium Expression	NA	glucan synthase-like 4
Potri.006G049100	NA	Low Expression	NADPH-dependent thioredoxin reductase C
Potri.002G242600	NA	High Expression	Ribosomal protein L13 family protein
Potri.017G013100	Medium Expression	Low Expression	targeting protein for XKLP2
Potri.011G021700	Not Expressed	NA	Transducin/WD40 repeat-like superfamily protein
Potri.013G140100	Medium Expression	Medium Expression	unknown
Potri.005G066600	Medium Expression	Medium Expression	chromatin remodeling 24
Potri.010G014300	NA	Low Expression	translocon at the outer envelope membrane of chloroplasts 159
Potri.004G126100	NA	Medium Expression	Saccharopine dehydrogenase
Potri.011G136100	NA	Not Expressed	SMAD/FHA domain-containing protein
Potri.013G139000	Not Expressed	Not Expressed	ribosomal protein S12C
Potri.008G035500	Low Expression	NA	pseudouridine synthase family protein
Potri.015G136600	NA	Medium Expression	Per1-like family protein
Potri.001G234600	NA	Medium Expression	exocyst subunit exo70 family protein H2
Potri.016G110500	NA	High Expression	acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit
Potri.019G037600	NA	Medium Expression	RNA binding (RRM/RBD/RNP motifs) family protein
Potri.001G144700	Medium Expression	NA	poltergeist like 1
Potri.010G000500	NA	Not Expressed	MLP-like protein 423
Potri.014G098100	Medium Expression	Medium Expression	Ubiquitin-like superfamily protein
Potri.003G051300	High Expression	High Expression	phytochrome-associated protein 2
Potri.013G131800	NA	High Expression	lumazine-binding family protein
Potri.003G072900	Low Expression	Low Expression	related to ABI3/VP1 2
Potri.003G177900	Low Expression	Low Expression	unknown
Potri.014G127400	High Expression	Medium Expression	exocyst complex component sec15B
Potri.001G448900	NA	Medium Expression	RING/FYVE/PHD zinc finger superfamily protein
Potri.007G042800	NA	Not Expressed	PLANT CADMIUM RESISTANCE 2
Potri.001G237800	Medium Expression	Medium Expression	63 kDa inner membrane family protein
Potri.007G021200	Low Expression	NA	Heavy metal transport/detoxification superfamily protein
Potri.017G114500	High Expression	High Expression	LOB domain-containing protein 41
Potri.006G152600	NA	Medium Expression	phosphofructokinase 3
Potri.001G224500	NA	Low Expression	myb domain protein 65
Potri.009G011800	NA	High Expression	auxin response factor 4
Potri.010G194400	Medium Expression	NA	Yos1-like protein
Potri.007G087200	NA	High Expression	binding
Potri.008G131800	NA	High Expression	Protein of unknown function DUF2359, transmembrane
Potri.009G030600	NA	High Expression	poltergeist like 4
Potri.019G103100	NA	High Expression	Protein phosphatase 2C family protein
Potri.003G008800	NA	Medium Expression	unknown
Potri.002G058300	NA	Medium Expression	Golgi transport complex protein-related
Potri.007G036500	NA	Not Expressed	NmrA-like negative transcriptional regulator family protein
Potri.002G223600	High Expression	Medium Expression	centromere/kinetochore protein, putative (ZW10)
Potri.006G115400	NA	High Expression	Family of unknown function (DUF662)
Potri.017G140700	Not Expressed	Not Expressed	photosystem II reaction center protein B
Potri.003G038800	NA	Low Expression	Transducin family protein / WD-40 repeat family protein
Potri.013G072200	NA	High Expression	proteophosphoglycan-related
Potri.003G019700	Low Expression	NA	GNS1/SUR4 membrane protein family
Potri.004G048600	NA	Medium Expression	alpha-glucan phosphorylase 2
Potri.008G054900	NA	High Expression	heat shock protein 70
Potri.019G018000	NA	Medium Expression	type one serine/threonine protein phosphatase 4
Potri.001G324700	Medium Expression	Medium Expression	unknown
Potri.018G087900	Medium Expression	NA	translocase inner membrane subunit 17-2
Potri.017G001100	NA	Medium Expression	protein serine/threonine kinases;ATP binding;catalytics
Potri.017G081100	NA	High Expression	ATP binding cassette subfamily B19
Potri.004G049700	NA	Medium Expression	unknown
Potri.004G129100	Not Expressed	NA	Ankyrin repeat family protein
Potri.014G037900	NA	Medium Expression	cytochrome P450, family 82, subfamily C, polypeptide 4
Potri.012G045700	Medium Expression	NA	unknown
Potri.019G039500	NA	High Expression	BTB-POZ and MATH domain 5
Potri.012G067900	Medium Expression	Medium Expression	Actin-binding FH2 protein
Potri.004G054900	NA	Not Expressed	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.013G142200	Low Expression	Low Expression	RNA polymerase subunit beta
Potri.005G071500	NA	Medium Expression	helicase domain-containing protein / IBR domain-containing protein / zinc finger protein-related
Potri.001G002600	Medium Expression	Medium Expression	pumilio 12
Potri.010G011400	NA	Not Expressed	MATE efflux family protein
Potri.018G083800	NA	High Expression	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Potri.011G152700	High Expression	High Expression	CTC-interacting domain 11
Potri.002G066900	NA	Medium Expression	Sphingomyelin synthetase family protein
Potri.011G083100	NA	Medium Expression	TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 2
Potri.006G187400	NA	High Expression	homolog of yeast FIP1 [V]
Potri.012G055000	Medium Expression	Medium Expression	delta-adaptin
Potri.015G082500	NA	Medium Expression	histone deacetylase 6
Potri.008G075700	NA	High Expression	unknown
Potri.005G108800	NA	Medium Expression	unknown
Potri.012G043700	NA	Medium Expression	NF-X-like 1
Potri.018G001900	NA	Medium Expression	Protein kinase superfamily protein
Potri.019G055900	Medium Expression	Low Expression	unknown
Potri.015G066100	NA	Medium Expression	DNAJ heat shock family protein
Potri.001G406200	NA	Medium Expression	unknown
Potri.T046600	NA	Not Expressed	zinc ion binding;nucleic acid binding
Potri.014G000500	NA	High Expression	histone acetyltransferase of the CBP family 1
Potri.005G109800	NA	Low Expression	Pentatricopeptide repeat (PPR) superfamily protein
Potri.013G099200	NA	High Expression	unknown
Potri.017G079800	NA	Medium Expression	Small GTP-binding protein
Potri.017G072100	NA	Medium Expression	zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein
Potri.019G084900	NA	Low Expression	2-oxoacid dehydrogenases acyltransferase family protein
Potri.002G241100	NA	High Expression	GTP-binding family protein
Potri.013G137600	Low Expression	NA	photosystem II reaction center protein B
Potri.019G035700	Medium Expression	High Expression	APR-like 5
Potri.002G216100	NA	Medium Expression	cytochrome c oxidase 10
Potri.015G031100	NA	Medium Expression	extra-large GTP-binding protein 3
Potri.003G086700	High Expression	NA	Ras-related small GTP-binding family protein
Potri.016G135100	NA	Medium Expression	MAC/Perforin domain-containing protein
Potri.001G415700	High Expression	NA	histone H2A 10
Potri.007G119700	Not Expressed	NA	terpene synthase 03
Potri.011G058100	NA	Medium Expression	HAESA-like 1
Potri.001G317700	Medium Expression	NA	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Potri.006G069100	Medium Expression	Medium Expression	unknown
Potri.018G014100	NA	Medium Expression	unknown
Potri.001G360200	High Expression	NA	Kinesin motor family protein
Potri.019G048600	NA	Low Expression	dual specificity protein phosphatase (DsPTP1) family protein
Potri.017G054400	NA	High Expression	26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit
Potri.016G111000	NA	High Expression	phosphate transporter 4;2
Potri.005G203900	NA	Medium Expression	Golgi transport complex protein-related
Potri.001G150600	NA	Medium Expression	Alcohol dehydrogenase transcription factor Myb/SANT-like family protein
Potri.005G146900	NA	High Expression	Cellulose-synthase-like C12
Potri.011G036200	Not Expressed	Low Expression	unknown
Potri.010G098700	Not Expressed	Not Expressed	Pentatricopeptide repeat (PPR-like) superfamily protein
Potri.017G063900	NA	Low Expression	Ferritin/ribonucleotide reductase-like family protein
Potri.005G143200	NA	High Expression	Protein kinase superfamily protein
Potri.001G454300	NA	High Expression	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Potri.006G167700	Medium Expression	Medium Expression	AINTEGUMENTA-like 5
Potri.008G154100	NA	Medium Expression	unknown
Potri.004G141500	Medium Expression	NA	homolog of RAD54
Potri.002G240700	NA	Not Expressed	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.001G466500	Medium Expression	NA	unknown
Potri.005G025400	NA	Medium Expression	Phospholipid/glycerol acyltransferase family protein
Potri.009G026400	NA	Not Expressed	unknown
Potri.002G213400	NA	Medium Expression	sequence-specific DNA binding;sequence-specific DNA binding transcription factors
Potri.001G440100	Medium Expression	NA	Small nuclear ribonucleoprotein family protein
